64: HR=0.7252, NDCG=0.4483
Epoch  227:      HR=0.7116, NDCG=0.4352
Epoch  228:      HR=0.7119, NDCG=0.4356
Epoch  229:      HR=0.7124, NDCG=0.4357
Epoch  230:      HR=0.7126, NDCG=0.4360
Epoch  231:      HR=0.7136, NDCG=0.4358
Epoch  232:      HR=0.7134, NDCG=0.4359
Epoch  233:      HR=0.7151, NDCG=0.4372
Epoch  234:      HR=0.7124, NDCG=0.4346
Epoch  235:      HR=0.7131, NDCG=0.4357
Epoch  236:      HR=0.7129, NDCG=0.4349
Epoch  237:      HR=0.7147, NDCG=0.4363
Epoch  238:      HR=0.7113, NDCG=0.4351
Epoch  239:      HR=0.7124, NDCG=0.4355
Epoch  240:      HR=0.7146, NDCG=0.4362
Epoch  241:      HR=0.7137, NDCG=0.4360
Epoch  242:      HR=0.7139, NDCG=0.4364
Epoch  243:      HR=0.7126, NDCG=0.4361
Epoch  244:      HR=0.7126, NDCG=0.4365
Epoch  245:      HR=0.7126, NDCG=0.4355
Epoch  246:      HR=0.7132, NDCG=0.4363
Epoch  247:      HR=0.7127, NDCG=0.4356
Epoch  248:      HR=0.7137, NDCG=0.4366
Epoch  249:      HR=0.7136, NDCG=0.4360
Epoch  250:      HR=0.7147, NDCG=0.4364
Epoch  251:      HR=0.7139, NDCG=0.4363
Epoch  252:      HR=0.7151, NDCG=0.4369
Epoch  253:      HR=0.7152, NDCG=0.4356
Epoch  254:      HR=0.7139, NDCG=0.4355
Epoch  255:      HR=0.7146, NDCG=0.4359
Epoch  256:      HR=0.7144, NDCG=0.4360

python mf_simple.py --data Data/ml-1m --epochs 256 --embedding_dim 128 --regularization 0.005 --negatives 8 --learning_rate 0.002 --stddev 0.1
Dataset: #user=6040, #item=3706, #train_pairs=994169, #test_pairs=6040
Epoch    0:      HR=0.1005, NDCG=0.0461
Epoch    1:      HR=0.4513, NDCG=0.2511
Epoch    2:      HR=0.4525, NDCG=0.2515
Epoch    3:      HR=0.4523, NDCG=0.2513
Epoch    4:      HR=0.4520, NDCG=0.2517
Epoch    5:      HR=0.4540, NDCG=0.2531
Epoch    6:      HR=0.4531, NDCG=0.2525
Epoch    7:      HR=0.4551, NDCG=0.2530
